"","DBN","School Name","SAT Critical Reading Avg. Score","SAT Math Avg. Score","SAT Writing Avg. Score","School Type","Parent Response Rate","frl_percent","ell_percent","asian_per","black_per","hispanic_per","white_per","male_per","female_per","sped_percent","total_enrollment","Num of SAT Test Takers"
"101","05M367","Academy For Social Action: A College Board School","354","366","342","Middle/High School","12%",67,9.9,0.5,61.4,38.1,0,48.7,51.3,21.6,425,"33"
"102","05M369","Urban Assembly School For The Performing Arts","360","353","364","High School","54%",77.7,6.1,0.5,59.1,38.2,0.8,25.4,74.6,16.6,374,"56"
"103","05M469","Choir Academy Of Harlem","354","360","385","Middle/High School","24%",81.9,2,0.3,76.1,22.5,0.6,39.8,60.2,13.3,347,"20"
"104","05M499","Frederick Douglass Academy","458","474","442","Middle/High School","14%",57.6,2.4,1.2,74.4,22.8,1.3,52.2,47.8,8.9,1556,"214"
"105","05M670","Thurgood Marshall Academy For Learning And Social","396","402","404","Middle/High School","41%",65.1,1.4,0.2,78.1,20.9,0.2,44.1,55.9,10,580,"66"
"106","05M685","Bread & Roses Integrated Arts High School","369","361","355","High School","25%",71.8,17.6,0.4,53.2,45.4,0.6,48.9,51.1,21,524,"61"
"107","05M692","High School For Mathematics, Science And Engineeri","605","654","588","High School","41%",18.5,0,36.2,15,21.2,26.1,65.8,34.2,0,406,"101"
"108","06M293","City College Academy Of The Arts","408","446","416","Middle/High School","54%",71.6,6.1,0.7,6,92,1.2,39.6,60.4,13.1,586,"60"
"109","06M346","Community Health Academy Of The Heights","362","376","367","Middle/High School","52%",78.8,30,0.2,5.2,93.8,0.8,52.3,47.7,17.3,520,"55"
"110","06M348","Washington Heights Expeditionary Learning School","380","395","399","Middle/High School","52%",87.5,19.6,0,2.3,96.7,0.3,55.8,44.2,18.1,602,"70"
"111","06M423","High School For Excellence And Innovation","s","s","s","Transfer High School","64%",99.2,19.7,0,25.8,72.5,0,52.8,47.2,34.3,178,"s"
"113","06M462","The College Academy","365","384","378","High School","44%",89.3,43,0.5,5.2,91.4,1.4,63.8,36.2,13.7,630,"76"
"114","06M463","High School For Media And Communications","369","380","349","High School","38%",83.8,26.9,1,10.7,87.1,0.5,63.5,36.5,17,572,"63"
"115","06M467","High School For Law And Public Service","363","378","361","High School","40%",72.5,32,1,13,84.4,1.3,58.6,41.4,16.7,694,"94"
"116","06M468","High School For Health Careers And Sciences","400","422","402","High School","52%",90.7,31.2,0.7,13.7,83.8,1,52.7,47.3,13.8,679,"24"
"117","06M540","A. Philip Randolph Campus High School","430","456","423","High School","9%",76.3,2.3,4,32.8,62.3,0.7,49.9,50.1,5.5,1285,"228"
"118","06M552","Gregorio Luperon High School For Science And Mathe","339","349","326","High School","65%",92.8,89.6,0,0,99.8,0,48.9,51.1,0,472,"56"
"119","07X221","South Bronx Preparatory: A College Board School","364","378","348","Middle/High School","47%",72.9,8.8,0.6,29.9,68.8,0.5,47.4,52.6,19.3,622,"65"
"120","07X321","Crotona Academy High School","379","364","382","Transfer High School","50%",78.3,2.4,0.8,42.7,54,0.8,31.5,68.5,6.5,124,"9"
"121","07X334","International Community High School","310","324","311","High School","46%",77.5,90.1,4.8,20.1,71.8,2,48.6,51.4,1.8,393,"34"
"122","07X379","Jill Chaifetz Transfer High School","s","s","s","Transfer High School","22%",71.7,3,0.5,40.9,56.6,1,36.9,63.1,7.6,198,"s"
"123","07X381","Bronx Haven High School","s","s","s","Transfer High School","32%",64.7,7.8,0.7,35.9,62.7,0.7,37.3,62.7,8.5,153,"s"
"124","07X427","Community School For Social Justice","361","359","357","High School","33%",82.7,13.2,0.6,32.3,65.5,0.9,49.2,50.8,19.7,319,"43"
"125","07X473","Mott Haven Village Preparatory High School","351","375","371","High School","67%",78.5,9.6,1.1,22.6,76,0,50.1,49.9,18.5,363,"63"
"126","07X495","University Heights Secondary School","403","394","404","High School","73%",90.1,3.7,2.6,18.1,78.1,1.3,43.2,56.8,5.2,465,"79"
"127","07X500","Hostos-Lincoln Academy Of Science","420","426","411","Middle/High School","24%",68.3,5.6,2,24,72.7,0.7,45.2,54.8,11.9,538,"66"
"128","07X520","Foreign Language Academy Of Global Studies","399","396","391","High School","42%",89.9,21.9,3.2,26,68.8,1,45.3,54.7,22.5,311,"64"
"129","07X527","Bronx Leadership Academy Ii High School","362","378","363","High School","20%",77,14.1,1.4,41.2,56,1,54,46,18.5,502,"62"
"130","07X547","New Explorers High School","367","356","361","High School","17%",90.4,15.7,0.5,30.3,68.1,0.5,57.7,42.3,25.1,383,"28"
"131","07X548","Urban Assembly School For Careers In Sports","387","411","383","High School","24%",74.3,5,0.4,26.6,70.4,0.4,84.3,15.7,18.7,477,"44"
"132","07X551","Bronx Academy Of Letters","413","381","407","Middle/High School","32%",79.1,9.4,0.5,34.1,64.3,0.9,44.5,55.5,24,555,"51"
"133","07X600","Alfred E. Smith Career And Technical Education Hig","394","400","364","High School","15%",76.7,9.1,1.4,35.9,61.5,0.7,92.7,7.3,22,738,"76"
"134","07X655","Samuel Gompers Career And Technical Education High","398","416","370","High School","11%",75.7,17,1.2,32.4,64.9,0.8,79.6,20.4,26.1,663,"47"
"135","07X670","Health Opportunities High School","363","368","364","High School","83%",77.8,10.4,3.1,39.2,56.9,0.5,28.6,71.4,19.6,587,"114"
"136","08X269","Bronx Studio School For Writers And Artists","s","s","s","Middle/High School","43%",85.6,9.2,1.2,22.4,74.8,1,44,56,13.4,500,"s"
"137","08X282","Women'S Academy Of Excellence","407","386","378","High School","21%",72.2,2.6,2.9,45.9,46.4,2.4,0.3,99.7,15.6,379,"44"
"138","08X293","Renaissance High School For Musical Theater & Tech","384","385","389","High School","31%",66.4,4.5,2.6,25.4,63.8,7.7,38,62,21.7,469,"52"
"139","08X295","Gateway School For Environmental Research And Tech","416","390","394","High School","14%",74.6,11.5,5.6,33.1,59.4,1,60,40,24.1,478,"41"
"140","08X305","Pablo Neruda Academy For Architecture And World St","337","361","340","High School","39%",75.8,15.9,2.5,26.2,69.9,1.4,66,34,27.3,359,"67"
"141","08X312","Millennium Art Academy","387","402","375","High School","16%",74.2,5.4,1.8,32.5,64.3,1,49.2,50.8,20.4,496,"67"
"142","08X332","Holcombe L. Rucker School Of Community Research","363","371","350","High School","71%",79.6,12.6,0.9,39.9,56.8,0.6,49.2,50.8,18,333,"39"
"143","08X367","Archimedes Academy For Math, Science And Technolog","s","s","s","Middle/High School","37%",87.3,2.6,2.8,35,60.2,2,62,38,22,500,"s"
"144","08X376","Antonia Pantoja Preparatory Academy, A College Boa","s","s","s","Middle/High School","32%",81.3,7.4,4.9,27.8,66,0.7,47,53,24.1,432,"s"
"145","08X377","Bronx Community High School","367","369","376","Transfer High School","43%",73.9,4.5,1,33,63.5,1,50.5,49.5,5,200,"9"
"146","08X405","Herbert H. Lehman High School","412","436","393","High School","5%",66.8,9.2,6.8,23,60.6,9,61.1,38.9,20.9,3593,"415"
"148","08X432","Bronx Bridges High School","s","s","s","High School","58%",87.2,79.4,5.2,8.4,83.2,2.6,52.3,47.7,7.7,155,"s"
"149","08X452","Bronx Guild","369","371","365","High School","44%",69.2,7.2,3.9,33.8,61.3,0.7,49.5,50.5,23,305,"39"
"151","08X519","Felisa Rincon De Gautier Institute For Law And Pub","373","370","356","High School","25%",72.3,14,1.4,21.8,76,0.6,43,57,20.9,363,"68"
"152","08X530","Banana Kelly High School","373","381","377","High School","42%",81.9,13.5,0.7,32.6,65.4,1.1,49.9,50.1,25.7,451,"54"
"153","08X537","Bronx Arena High School","s","s","s","Transfer High School","19%",60,4.7,2.3,40.3,55.8,0.8,43.4,56.6,6.2,129,"s"
"154","08X540","School For Community Research And Learning","366","400","368","High School","2%",83.8,11,4.7,28.8,64.9,1,57.1,42.9,28.3,191,"16"
"155","08X560","Bronx Academy High School","404","368","399","Transfer High School","7%",76.2,9.2,0,37.9,61,1,44.1,55.9,6.7,195,"9"
"156","08X650","Jane Addams High School For Academic Careers","377","359","376","High School","11%",85.7,11.2,1.5,36.8,60.8,0.3,28.3,71.7,22.2,717,"78"
"157","09X227","Bronx Expeditionary Learning High School","324","376","349","High School","41%",83.9,29.3,1.1,27.9,69.3,0.8,50.1,49.9,21.1,355,"39"
"158","09X231","Eagle Academy For Young Men","373","387","374","Middle/High School","41%",60.4,4,0.7,63.1,33.8,0.5,100,0,24.2,550,"78"
"159","09X239","Urban Assembly Academy For History And Citizenship","372","355","357","High School","21%",50.2,19.9,0.7,56.7,40.4,0.7,100,0,27.7,141,"33"
"160","09X241","Urban Assembly School For Applied Math And Science","411","464","415","Middle/High School","46%",79.5,9.4,2.6,32,63.4,1.5,49.3,50.7,14.7,606,"80"
"161","09X250","Eximius College Preparatory Academy: A College Boa","393","394","382","High School","34%",62.9,8.1,0.6,40.7,58.1,0.3,46.6,53.4,18.8,356,"50"
"162","09X252","Mott Hall Bronx High School","369","367","356","High School","19%",58.9,8.8,1.1,24.3,73.7,0.8,45.8,54,15.5,354,"67"
"163","09X260","Bronx Center For Science And Mathematics","459","480","457","High School","55%",70,1.6,5.9,24.3,68.7,1.1,46.2,53.8,14,444,"81"
"164","09X263","Validus Preparatory Academy: An Expeditionary Lear","356","363","356","High School","34%",76.1,12.1,1.1,34.2,63.8,0.3,44.1,55.9,16.2,365,"74"
"165","09X276","Leadership Institute","361","353","367","High School","49%",94.8,16.5,1.7,33,63.5,1.3,52.2,47.8,16.1,230,"30"
"166","09X297","Morris Academy For Collaborative Studies","386","386","376","High School","35%",79.1,19.1,0.4,26,73.1,0.4,53.8,46.2,22.4,450,"38"
"167","09X324","Bronx Early College Academy For Teaching & Learnin","s","s","s","Middle/High School","25%",79.4,11,3,32,64.5,0.2,48.5,51.5,16.2,493,"s"
"168","09X329","Dreamyard Preparatory School","382","365","391","High School","20%",80,24.4,0,26.9,69.9,0.3,44.1,55.9,19.5,349,"51"
"169","09X365","Academy For Language And Technology","315","339","297","High School","85%",85.7,86.6,0,0.6,99.4,0,48.8,51.2,0.9,336,"54"
"170","09X403","Bronx International High School","314","312","339","High School","49%",82.3,87.1,1,22.8,72.2,3.7,45.7,54.3,1.2,403,"49"
"171","09X404","School For Excellence","363","360","351","High School","82%",81.4,20.7,0.3,34.5,64.5,0,52.3,47.7,26.2,386,"32"
"172","09X412","Bronx High School Of Business","356","376","351","High School","27%",77.6,23.2,0.7,38.7,59.9,0.5,54.9,45.1,23.2,401,"34"
"173","09X413","Bronx High School For Medical Science","400","419","402","Middle/High School","33%",76.9,5.7,5.3,36.7,57.8,0.2,42.2,57.8,8.6,455,"64"
"174","09X414","Jonathan Levin High School For Media And Communica","379","364","379","High School","12%",77.7,38.5,0.5,22.3,75.4,1.6,53.4,46.6,20.9,382,"35"
"175","09X505","Bronx School For Law, Government And Justice","404","418","402","Middle/High School","58%",66.2,6.6,2,30.4,66.2,1,45.9,54.1,14,763,"80"
"176","09X517","Frederick Douglass Academy Iii Secondary School","368","384","369","Middle/High School","83%",79.7,6.4,1.1,56.2,41.4,0.4,51.5,48.5,17.7,532,"50"
"177","09X525","Bronx Leadership Academy High School","384","394","388","High School","16%",76.9,9.6,0.7,41.1,57,0,43.3,56.7,20.3,705,"114"
"178","09X543","High School For Violin And Dance","353","315","371","High School","42%",84.3,8.7,0.3,36.8,62.5,0,14.6,85.4,22.3,323,"27"
"179","10X141","Riverdale / Kingsbridge Academy (Middle School / H","438","455","440","Middle/High School","22%",39.7,6.7,8.8,13,53,24.9,51.8,48.2,15.2,1337,"113"
"180","10X213","Bronx Engineering And Technology Academy","373","412","365","High School","26%",79.8,15.5,5.2,29.5,64.2,0.9,82.7,17.3,21.4,444,"86"
"181","10X225","Theatre Arts Production Company School","405","391","394","Middle/High School","19%",67.4,4.4,1.1,27.3,69.7,1.1,30.9,69.1,18.9,524,"59"
"182","10X237","The Marie Curie School For Medicine, Nursing, And","382","393","382","High School","30%",71.5,6.7,1.5,35.6,57.4,3.3,16.5,83.5,15.6,540,"79"
"183","10X243","West Bronx Academy For The Future","382","406","370","Middle/High School","43%",86.3,13.2,3.5,24.7,69.5,1.3,57.9,42.1,19.5,636,"26"
"184","10X268","Kingsbridge International High School","304","356","302","High School","58%",95.1,88.7,6.8,5.4,84.7,3,52.3,47.7,0.4,497,"52"
"185","10X284","Bronx School Of Law And Finance","402","395","385","High School","22%",74.2,7.1,0.7,31.5,65.2,2.6,56.6,43.4,15.2,422,"54"
"186","10X319","Providing Urban Learners Success In Education High","s","s","s","Transfer High School","1%",81.8,5.2,0,37.6,61.5,0.5,40.4,59.6,16.4,213,"s"
"187","10X342","International School For Liberal Arts","300","333","301","Middle/High School","71%",78.3,79.9,0.2,0,99.8,0,49,51,4.6,606,"49"
"188","10X368","In-Tech Academy (M.S. / High School 368)","390","408","383","Middle/High School","37%",77.9,12.1,4,11.9,81.9,2,48.9,51.1,14.3,1126,"111"
"189","10X374","Knowledge And Power Preparatory Academy Internatio","392","401","387","High School","72%",75.3,9.3,0.9,35.2,59.9,3.1,47.2,52.8,11.1,324,"61"
"190","10X397","English Language Learners And International Suppor","343","356","330","High School","22%",92.8,80.4,7,16.5,72.5,1.9,55.7,44.3,0,316,"38"
"191","10X433","High School For Teaching And The Professions","370","371","365","High School","25%",88.1,17.8,2.5,25.2,70.4,1.9,42.3,57.7,20.1,473,"57"
"192","10X434","Belmont Preparatory High School","404","418","400","High School","28%",76.8,11.3,3.2,29,65.6,1.7,47.2,52.8,15.7,407,"51"
"193","10X437","Fordham High School For The Arts","355","350","372","High School","30%",78.3,12.4,1.6,35.7,61.5,1.3,43.2,56.8,22.5,387,"48"
"194","10X438","Fordham Leadership Academy For Business And Techno","367","385","367","High School","23%",78.9,16.6,2.7,27.7,67.8,1.3,63.4,36.6,20.6,451,"63"
"195","10X439","Bronx High School For Law And Community Service","366","364","352","High School","27%",80.2,13.4,2.3,30.8,64.6,0.9,44.4,55.6,20.8,432,"65"
"196","10X440","Dewitt Clinton High School","419","426","410","High School","17%",74.8,19,6.7,30.8,59.6,2.1,51.1,48.9,14.9,4159,"443"
"197","10X442","Celia Cruz Bronx High School Of Music, The","423","420","427","High School","35%",74.7,3.5,0.5,27.2,69.5,2.4,40.7,59.3,7.8,423,"52"
"198","10X445","Bronx High School Of Science","632","688","649","High School","41%",34.2,0.1,63.5,3.5,7.2,25.4,57.8,42.2,0.1,3013,"731"
"199","10X475","John F. Kennedy High School","351","362","339","High School","16%",77.8,23.8,0.7,35.1,62.7,1.4,68.3,31.7,20.8,706,"109"
"200","10X477","Marble Hill High School For International Studies","414","435","414","High School","57%",83.9,32.2,11,23,57.9,7.5,46.7,53.3,6.8,456,"99"
"201","10X546","Bronx Theatre High School","348","362","354","High School","89%",73.7,9.4,0.4,28.8,69,1.8,32.1,67.9,15.1,445,"68"
"202","10X549","Discovery High School","372","379","364","High School","5%",80,20.6,2.1,20.2,75.6,1.3,52.4,47.6,17.8,529,"55"
"203","10X660","Grace Dodge Career And Technical Education High Sc","362","382","356","High School","14%",71,18.8,1.5,30.1,67.1,0.9,40,60,24.1,1162,"73"
"205","10X696","High School Of American Studies At Lehman College","636","648","636","High School","31%",20.8,0,16.7,10.6,18,53.8,53.8,46.2,1.3,377,"92"
"206","11X249","Bronx Health Sciences High School","370","381","382","High School","11%",73.9,6.1,4.8,56.8,36.3,0.5,35.3,64.7,7.4,377,"74"
"207","11X253","Bronx High School For Writing And Communication Ar","400","357","390","High School","24%",72.4,8.5,2.4,48.3,47.6,1.7,40.8,59.2,14.5,422,"46"
"208","11X265","Bronx Lab School","377","391","367","High School","43%",75.5,3.7,2.7,37.8,57.3,1.7,59.5,40.5,15.8,482,"81"
"209","11X270","Academy For Scholarship And Entrepreneurship: A Co","386","394","361","Middle/High School","33%",63.7,6.3,2.5,63.7,32,0.7,52,48,18.5,606,"56"
"210","11X275","High School Of Computers And Technology","381","376","354","High School","43%",71.8,10.2,3.6,34.9,59.5,1.3,87.3,12.7,20.2,550,"72"
"211","11X288","Collegiate Institute For Math And Science","444","471","433","High School","55%",67.9,3.3,9.2,36.8,46.8,7,57.1,42.9,14,543,"97"
"212","11X290","Bronx Academy Of Health Careers","387","365","383","High School","26%",70.8,7.7,3.3,52.6,41.2,1,32.7,67.3,19,483,"69"
"213","11X299","Astor Collegiate Academy","387","391","391","High School","22%",64.4,7.6,5.4,35.7,46,11.8,58.6,41.4,21.7,498,"60"
"214","11X415","Christopher Columbus High School","367","361","353","High School","20%",59.2,18.3,5.8,34.9,46.5,12.7,55.2,44.8,24.1,727,"121"
"216","11X418","Bronx High School For The Visual Arts","419","433","416","High School","28%",68.7,5.2,1.9,29.2,62.3,6.4,58,42,20.9,483,"48"
"217","11X455","Harry S Truman High School","386","397","368","High School","5%",50.6,9.2,2,51.8,43.8,1.3,60,40,25.1,1773,"189"
"218","11X513","New World High School","332","381","335","High School","29%",79.5,80.1,12.4,13.2,70.4,3.2,50,50,1.5,402,"72"
"219","11X514","The Bronxwood Preparatory Academy","377","372","363","High School","25%",66.7,7,1.9,58.2,37.3,1,61.3,38.7,20.9,416,"48"
"220","11X541","Global Enterprise High School","372","382","375","High School","18%",80.3,14.4,4.1,35.9,54.1,5.6,56.7,43.3,17.8,270,"57"
"221","11X542","Pelham Preparatory Academy","431","438","419","High School","68%",61,2.2,2.4,40.2,49.7,6.9,48.1,51.9,14.2,507,"76"
"222","11X544","High School For Contemporary Arts","383","378","365","High School","80%",71.9,10.2,1,37.2,59.9,1,55.3,44.7,21.3,479,"55"
"223","11X545","Bronx Aerospace High School","388","393","382","High School","31%",45.6,14.7,2.2,23.8,72.6,1.2,82.5,17.5,25.7,416,"46"
"224","12X245","New Day Academy","348","344","354","Middle/High School","11%",87,11,1,45.5,53.4,0,48.2,51.8,23,191,"25"
"225","12X248","Metropolitan High School, The","347","367","341","High School","16%",86.6,21.8,1.8,24.2,72.9,0.9,54,46,20.9,339,"49"
"226","12X251","Explorations Academy","381","381","360","High School","27%",76.4,19.9,1.7,31.2,65.5,1.4,50.8,49.2,21.3,362,"57"
"227","12X262","Performance Conservatory High School","361","353","360","High School","14%",61.9,10,1.2,39.2,57.7,0.8,24.6,75.4,28.1,260,"30"
"228","12X267","Bronx Latin","408","432","411","Middle/High School","74%",79.3,13.6,0.2,25.6,73.2,1,49.8,50.2,21.5,418,"36"
"229","12X271","East Bronx Academy For The Future","366","378","358","Middle/High School","26%",86.2,11.6,1.9,29.4,68.3,0.2,53,47,24.1,619,"46"
"230","12X278","Peace And Diversity Academy","390","401","364","High School","91%",78.8,13.9,1.7,43.7,53.7,0.9,45,55,17.3,231,"34"
"231","12X388","Pan American International High School At Monroe","321","351","298","High School","49%",100,92.9,0,0,99.8,0,51.5,48.5,0.2,406,"30"
"233","12X446","Arturo A. Schomburg Satellite Academy Bronx","380","372","349","Transfer High School","79%",62.1,4.8,0.4,41.2,57,0,33.3,66.7,9.2,228,"14"
"234","12X478","The Cinema School","s","s","s","High School","22%",75.9,4,4.5,28.7,65,1.8,40.8,59.2,4,223,"s"
"235","12X479","Bronx Career And College Preparatory High School","s","s","s","High School","48%",72.2,16.8,2.5,37.3,59.8,0.4,44.3,55.7,27.5,244,"s"
"236","12X480","Bronx Regional High School","398","385","398","Transfer High School","13%",73,10.1,1.5,40.5,57.1,0.6,37.6,62.4,8,338,"16"
"237","12X550","High School Of World Cultures","304","323","312","High School","100%",90.6,86.4,2.4,10.8,84.6,0.5,52,48,0.5,369,"42"
"238","12X682","Fannie Lou Hamer Freedom High School","342","346","341","High School","46%",81.1,11.5,0.2,30.6,68.8,0.2,54.1,45.9,26.2,477,"72"
"239","12X684","Wings Academy","378","374","362","High School","59%",66.4,4.5,1.3,55,42.2,1.3,53.7,46.3,22.3,538,"66"
"240","12X690","Monroe Academy For Business/Law","375","387","376","High School","36%",80.8,14.9,2.4,26.9,69.1,0.4,60.6,39.4,18.5,249,"31"
"241","12X692","Monroe Academy For Visual Arts & Design","332","357","349","High School","9%",87.3,28.8,0.9,20.4,77.5,1.3,52.6,47.4,20.8,466,"43"
"242","13K265","Dr. Susan S. Mckinney Secondary School Of The Arts","352","349","373","Middle/High School","35%",71.1,4.3,0.5,72,24.6,1.8,37,63,20.3,443,"29"
"243","13K336","Academy Of Business And Community Development","439","374","418","Middle/High School","32%",59.1,3.1,2.7,88.9,7.1,0.4,99.6,0.4,21.3,225,"9"
"244","13K350","Urban Assembly High School Of Music And Art","360","364","356","High School","13%",74.1,4.6,1.9,73.3,22.7,0.9,42.7,57.3,22.5,431,"52"
"245","13K412","Brooklyn Community High School Of Communication, A","375","355","384","High School","14%",68.9,2.4,0.6,79.2,17.1,1.3,45.5,54.5,18,462,"37"
"246","13K419","Science Skills Center High School For Science, Tec","399","417","395","High School","33%",60.7,7,7.2,77.8,12.2,2.1,56.1,43.9,13.7,517,"92"
"247","13K430","Brooklyn Technical High School","587","659","587","High School","6%",50.7,0.1,60.3,10.2,7.9,21.3,58.3,41.7,0.5,5332,"1277"
"248","13K439","Brooklyn International High School","305","364","312","High School","85%",80,83.1,42.5,20.2,28.6,8.7,48.2,51.8,0,367,"90"
"249","13K483","The Urban Assembly School For Law And Justice","400","417","389","High School","38%",60.5,0.9,0.9,79.1,17.1,1.1,39.6,60.4,13.3,450,"105"
"250","13K499","Acorn Community High School","384","364","368","High School","12%",81,2.9,1.2,84.7,12.2,0.8,55.8,44.2,18.6,731,"72"
"251","13K509","Freedom Academy High School","400","390","403","High School","24%",68,1.8,1.4,82.1,15.1,0.9,43.6,56.4,14.2,218,"29"
"252","13K527","Urban Assembly Institute Of Math And Science For Y","s","s","s","Middle/High School","45%",62.2,1.5,5.1,79.3,11.7,2.6,0,100,13.2,469,"s"
"253","13K553","Brooklyn Academy High School","435","383","379","Transfer High School","34%",67.2,0,0.5,86.4,11.4,0,49.5,50.5,9.8,184,"8"
"254","13K575","Bedford Stuyvesant Preparatory High School","398","391","394","Transfer High School","26%",74.6,0.7,0,83.6,12.5,2,35.5,64.5,0,152,"13"
"255","13K595","Bedford Academy High School","438","443","431","High School","53%",46.7,1.1,2.7,89.4,7.1,0.3,49,51,4.1,367,"89"
"256","13K605","George Westinghouse Career And Technical Education","406","391","392","High School","41%",65,1.9,2.8,79.8,15.3,1.3,75.5,24.5,14.1,927,"85"
"257","13K616","Brooklyn High School For Leadership And Community","s","s","s","Transfer High School","21%",63.9,2.4,0.5,68.4,28.3,1.4,49.5,50.5,7.5,212,"s"
"258","13K670","Benjamin Banneker Academy","471","472","448","High School","17%",47.4,0,2.7,87,8.8,0.4,46.1,53.9,3,895,"185"
"259","13K674","City Polytechnic High School Of Engineering, Archi","441","499","413","High School","25%",61.9,3.6,7.5,58.2,26.3,4.5,79.4,20.6,15.8,335,"20"
"260","14K071","Juan Morel Campos Secondary School","365","361","359","Middle/High School","16%",76.6,24.9,0.2,15.3,80.6,3.4,54.7,45.3,26.7,865,"102"
"261","14K322","Foundations Academy","s","s","s","High School","23%",78.7,5.7,1.4,66.7,29.8,1.4,56.7,43.3,28.4,141,"s"
"262","14K404","Academy For Young Writers","387","357","381","High School","16%",65.3,2.5,0.7,63.5,32.2,3,24.2,75.7,12.7,400,"68"
"263","14K449","Brooklyn Latin School, The","586","584","570","High School","29%",53.3,0.4,36.8,26.7,17.9,14.5,54.9,45.1,1.1,468,"72"
"264","14K454","Green School: An Academy For Environmental Careers","407","386","396","High School","23%",72.9,11.5,2,47.7,46.9,2.6,46.2,53.8,15.3,392,"41"
"265","14K474","Progress High School For Professional Careers","364","379","371","High School","24%",84.8,16.1,0.7,32.6,65.4,1,48.5,51.5,13,1068,"144"
"266","14K477","School For Legal Studies","413","396","395","High School","22%",65.6,5.7,0.9,57.7,39.3,1.7,45.8,54.2,13,759,"134"
"267","14K478","The High School For Enterprise, Business And Techn","398","421","396","High School","26%",74.2,9.9,3.2,39.3,55.4,1.9,65.7,34.3,13.2,976,"142"
"268","14K488","Brooklyn Preparatory High School","367","373","350","High School","27%",80.3,2.7,1.7,58.7,37.7,1,47.7,52.2,18.8,400,"42"
"269","14K558","Williamsburg High School For Architecture And Desi","363","385","364","High School","69%",82.6,7,1.4,38.4,57.2,2.2,72.6,27.4,17.6,500,"72"
"270","14K561","Williamsburg Preparatory School","397","410","380","High School","30%",81,2.8,1.6,25.5,61.5,11.1,51,49,12.7,577,"113"
"271","14K586","Lyons Community School","371","377","355","Middle/High School","28%",78.6,14.6,1.1,41.7,54.6,2.1,53.7,46.3,22,527,"31"
"272","14K610","Automotive High School","367","376","350","High School","6%",67.1,4.7,1.4,66.1,30.2,1.7,95.6,4.4,30.3,723,"94"
"273","14K632","Frances Perkins Academy","382","372","368","High School","13%",86.9,9.8,0,64.7,31.2,4,76.9,23.1,24.9,173,"12"
"274","14K685","El Puente Academy For Peace And Justice","359","335","341","High School","63%",80.4,17,1.8,10.1,87.6,0.5,42.7,57.3,23.4,218,"28"
"276","15K429","Brooklyn School For Global Studies","361","367","383","Middle/High School","17%",68.2,5.9,2.3,54.5,39,3.4,56.2,43.8,25.4,354,"52"
"277","15K448","Brooklyn Secondary School For Collaborative Studies","393","399","387","Middle/High School","33%",57.2,4.5,4.3,34.2,48.1,12.6,59.1,40.9,29.2,692,"76"
"278","15K462","Secondary School For Law","398","411","394","Middle/High School","51%",76.1,6.3,2.5,62.4,29.6,5.5,44.2,55.8,12.7,473,"59"
"279","15K463","Secondary School For Journalism","397","391","381","Middle/High School","35%",77,16.7,9.2,42,43.2,5.4,42.3,57.7,13.4,336,"58"
"280","15K464","Park Slope Collegiate","379","416","380","Middle/High School","12%",78,9.6,8.6,33.2,51.8,5.3,52.8,47.2,16.5,394,"72"
"281","15K497","School For International Studies","405","415","392","Middle/High School","30%",68.1,14.6,6.2,40.9,38.9,14,50.8,49.2,15.2,486,"64"
"282","15K519","Cobble Hill School Of American Studies","398","402","385","High School","33%",73.4,7.5,5.1,71.5,21,2.3,43.9,56.1,18.9,663,"77"
"283","15K520","Pacific High School","352","341","300","Transfer High School","7%",58,0,0,82,18,0,61,39,8,100,"9"
"284","15K529","West Brooklyn Community High School","s","s","s","Transfer High School","83%",71.2,2.3,8.9,9.4,64.8,16.9,58.7,41.3,7.5,213,"s"
"285","15K530","Metropolitan Corporate Academy High School","368","365","368","High School","22%",68.2,1.1,0.5,80.6,16.7,0,50,50,17.2,186,"28"
"286","15K656","Brooklyn High School Of The Arts","426","421","411","High School","17%",59.3,0.1,1.8,76.5,19,2.2,33.9,66.1,7.2,678,"141"
"287","15K667","Sunset Park High School","s","s","s","High School","34%",79.9,14.4,4.7,7.8,80.8,6.7,50.7,49.3,22.3,988,"s"
"288","15K698","South Brooklyn Community High School","430","416","425","Transfer High School","10%",74,2,0.7,21.5,72.5,4,45,55,6,149,"8"
"289","16K393","Frederick Douglass Academy Iv Secondary School","355","355","358","Middle/High School","37%",71,1.4,0.9,83.6,14.1,0.5,48.7,51.3,17.1,439,"20"
"290","16K455","Boys And Girls High School","365","370","362","High School","15%",61.7,2.5,0.5,90,7.8,0.7,61.7,38.3,20.5,1631,"131"
"291","16K498","Brooklyn High School For Law And Technology","362","372","358","High School","17%",74.5,4.7,1,72.8,24.9,0,51.6,48.4,20.7,405,"46"
"292","16K594","Gotham Professional Arts Academy","370","372","351","High School","12%",58.6,2.4,1,78.6,19.4,0.7,43.2,56.8,17.3,294,"36"
"293","16K688","The Brooklyn Academy Of Global Finance","s","s","s","High School","15%",57.4,6.3,1.9,74.2,20.8,2.5,51.6,48.4,20.8,159,"s"
"294","17K382","Academy For College Preparation And Career Explora","396","374","369","Middle/High School","13%",57,5,0.2,92,6.7,1.1,53.8,46.2,10.8,565,"59"
"295","17K408","Academy Of Hospitality And Tourism","352","342","351","High School","59%",65.5,12.9,1.6,84.3,12.9,0.9,49.8,50.2,15.4,319,"57"
