"","DBN","School Name","SAT Critical Reading Avg. Score","SAT Math Avg. Score","SAT Writing Avg. Score","School Type","Parent Response Rate","frl_percent","ell_percent","asian_per","black_per","hispanic_per","white_per","male_per","female_per","sped_percent","total_enrollment","Num of SAT Test Takers"
"437","30Q286","Young Women's Leadership School, Astoria","s","s","s","Middle/High School","87%",68.1,5.5,39.2,4.2,40.4,16.2,0,100,5.3,495,"s"
"438","30Q301","Academy For Careers In Television And Film","410","440","405","High School","66%",54.1,2.9,6,20.5,53.5,18.9,53.2,46.8,14.6,419,"98"
"439","30Q445","William Cullen Bryant High School","414","449","412","High School","43%",33.7,17.9,28.9,7.3,48.8,14.5,53.7,46.3,12.1,2945,"395"
"440","30Q450","Long Island City High School","403","420","395","High School","9%",62.8,13.2,13.2,11.4,62.7,12.5,51.3,48.7,13.8,3386,"392"
"441","30Q501","Frank Sinatra School Of The Arts High School","504","496","494","High School","34%",29.7,0.1,8.7,16.9,27.2,46.3,30,70,1.9,756,"174"
"442","30Q502","Information Technology High School","407","434","398","High School","29%",73.7,9.6,15.6,18.1,56.6,9.4,71.8,28.2,16,917,"148"
"443","30Q555","Newcomers High School","323","475","329","High School","51%",81.2,90.3,48.3,5.6,43.5,2.6,53.2,46.8,0,932,"143"
"444","30Q575","Academy Of American Studies","487","492","491","High School","40%",52.4,5.7,29.1,6.8,34.7,29.4,45,55,8,704,"135"
"445","30Q580","Baccalaureate School For Global Education","524","568","544","Middle/High School","35%",32.2,0,34.8,3.2,24.3,37.3,44.8,55.2,0.2,440,"61"
"446","31R047","Csi High School For International Studies","452","451","450","High School","70%",29,0.2,11.5,12,17.9,58.5,41.5,58.5,13.9,532,"137"
"447","31R064","Gaynor Mccown Expeditionary Learning School","398","412","385","High School","53%",35.4,1,5.9,15.7,17.6,60,52,48,22.8,408,"61"
"448","31R080","The Michael J. Petrides School","472","488","466","Elementary/Middle/High School","37%",32.3,1.6,8.1,18.8,16.9,55.9,49.2,50.8,18.5,1308,"107"
"449","31R440","New Dorp High School","424","437","416","High School","50%",42.3,5.9,7,12.1,27.3,53.3,52.5,47.5,16.9,2658,"391"
"450","31R445","Port Richmond High School","424","438","417","High School","22%",53.3,5.3,6.8,30.9,37.6,24.2,54.8,45.2,20.9,2151,"271"
"451","31R450","Curtis High School","437","435","429","High School","61%",54.3,6.1,7.3,38.4,31.9,21.8,46.4,53.6,14.7,2552,"375"
"452","31R455","Tottenville High School","462","486","470","High School","25%",18.4,1.4,5.4,2.1,9.9,82.1,49.6,50.4,13.9,3875,"807"
"453","31R460","Susan E. Wagner High School","455","474","459","High School","57%",41.4,3.4,14.6,11.3,24.1,49.4,50.8,49.2,18.8,3243,"535"
"454","31R470","Concord High School","466","455","414","Transfer High School","42%",56.9,2.2,1.7,38,39.7,19.6,45.8,54.2,17.3,179,"10"
"455","31R600","Ralph R. Mckee Career And Technical Education High","416","422","397","High School","32%",59.7,3.6,4.6,40.3,33.2,21.6,67.1,32.9,26.2,675,"94"
"456","31R605","Staten Island Technical High School","635","682","636","High School","92%",17,0.1,31.8,1.1,5.3,61.3,57,43,0.5,1104,"227"
"458","32K403","Academy For Environmental Leadership","380","366","352","High School","47%",88.7,32.9,0.6,21,77.1,0.8,50,50,17.7,362,"50"
"459","32K545","Ebc High School For Public Service–Bushwick","384","409","361","High School","53%",86.9,15.3,1.7,9.2,88.1,0.7,52.1,47.9,12.2,606,"88"
"460","32K549","Bushwick School For Social Justice","348","353","334","High School","43%",75.1,18.2,0.5,28.3,68.7,1.8,48.4,51.6,18.4,434,"75"
"461","32K552","Academy Of Urban Planning","342","364","354","High School","28%",77.1,23.9,1.5,26.4,70.4,1,54.5,45.5,22.1,398,"67"
"462","32K554","All City Leadership Secondary School","428","465","422","Middle/High School","46%",81.4,2.7,5.3,12.9,79.5,1.5,52.1,47.9,4.9,263,"39"
"463","32K556","Bushwick Leaders High School For Academic Excellen","347","358","350","High School","33%",88,18.2,0.9,21.2,77.3,0,53.2,46.8,18.6,462,"23"
"464","32K564","Bushwick Community High School","359","317","358","Transfer High School","40%",81.8,5.2,0.3,35.9,61.5,1.8,44.2,55.8,9.4,382,"24"
